81.0	61.0	81.0	53.0	82.0	79.0	66.0	73.0	71.0	68.0	71.0	86.0	86.0	69.0	58.0	63.0	59.0	87.0	86.0	69.0	18.0	4.0	7.0	0.0	15.0	21.0	15.0	21.0	0.0	19.0	0.0	23.0	0.0	2.0	3.0	30.0	6.0	10.0	2.0	1.0	47.0	44.0	55.0	32.0	67.0	45.0	48.0	0.0	36.0	43.0	70.0	21.0	14.0	61.0	30.0	61.0	38.0	5.0	42.0	35.0	1.0	50.0	28.0	45.0	47.0	49.0	43.0	25.0	46.0	51.0	53.0	69.0	65.0	46.0	67.0	61.0	48.0	57.0	48.0	61.0
52.0	40.0	46.0	42.0	58.0	48.0	45.0	47.0	48.0	40.0	48.0	51.0	60.0	41.0	40.0	49.0	37.0	51.0	48.0	40.0	48.0	34.0	40.0	38.0	56.0	45.0	46.0	49.0	35.0	50.0	32.0	32.0	40.0	28.0	31.0	56.0	43.0	42.0	41.0	28.0	47.0	43.0	53.0	40.0	55.0	43.0	46.0	0.0	41.0	49.0	63.0	9.0	45.0	50.0	38.0	60.0	47.0	44.0	44.0	48.0	12.0	57.0	29.0	45.0	47.0	48.0	47.0	42.0	52.0	48.0	50.0	63.0	63.0	51.0	51.0	55.0	50.0	58.0	55.0	55.0
63.0	47.0	65.0	50.0	73.0	57.0	55.0	63.0	55.0	55.0	54.0	60.0	76.0	48.0	53.0	60.0	54.0	65.0	57.0	53.0	38.0	16.0	26.0	4.0	43.0	39.0	36.0	36.0	10.0	37.0	2.0	26.0	29.0	7.0	30.0	43.0	31.0	38.0	20.0	31.0	58.0	49.0	65.0	49.0	73.0	46.0	54.0	7.0	43.0	51.0	86.0	33.0	39.0	62.0	41.0	76.0	44.0	40.0	51.0	54.0	31.0	57.0	30.0	45.0	51.0	57.0	50.0	31.0	51.0	51.0	57.0	64.0	69.0	55.0	61.0	55.0	49.0	60.0	53.0	58.0
54.0	48.0	57.0	43.0	75.0	55.0	51.0	51.0	57.0	50.0	56.0	61.0	70.0	50.0	45.0	51.0	48.0	67.0	64.0	52.0	32.0	29.0	27.0	16.0	40.0	35.0	32.0	35.0	14.0	37.0	3.0	31.0	26.0	4.0	22.0	44.0	25.0	34.0	16.0	15.0	53.0	40.0	53.0	41.0	73.0	46.0	51.0	0.0	44.0	43.0	65.0	12.0	36.0	51.0	27.0	63.0	44.0	33.0	49.0	43.0	32.0	54.0	38.0	52.0	63.0	69.0	50.0	44.0	58.0	63.0	68.0	76.0	78.0	55.0	54.0	78.0	65.0	74.0	67.0	80.0
59.0	29.0	46.0	52.0	62.0	56.0	52.0	49.0	56.0	42.0	57.0	54.0	67.0	42.0	47.0	57.0	47.0	58.0	61.0	47.0	24.0	1.0	15.0	0.0	37.0	23.0	22.0	20.0	0.0	26.0	1.0	15.0	10.0	0.0	27.0	41.0	21.0	27.0	1.0	26.0	52.0	46.0	55.0	29.0	61.0	45.0	53.0	1.0	38.0	47.0	65.0	22.0	21.0	52.0	43.0	61.0	21.0	26.0	47.0	46.0	16.0	60.0	15.0	29.0	46.0	47.0	43.0	10.0	49.0	50.0	60.0	63.0	66.0	56.0	43.0	46.0	43.0	52.0	49.0	49.0
69.0	40.0	53.0	53.0	69.0	66.0	50.0	50.0	65.0	46.0	61.0	64.0	71.0	46.0	47.0	63.0	44.0	69.0	66.0	48.0	34.0	16.0	31.0	12.0	42.0	35.0	33.0	34.0	8.0	33.0	4.0	31.0	26.0	0.0	23.0	42.0	27.0	30.0	17.0	19.0	49.0	43.0	54.0	39.0	62.0	47.0	50.0	0.0	40.0	47.0	64.0	14.0	23.0	56.0	36.0	60.0	41.0	29.0	43.0	44.0	7.0	58.0	34.0	48.0	49.0	56.0	50.0	36.0	53.0	51.0	60.0	67.0	65.0	49.0	54.0	61.0	53.0	63.0	57.0	60.0
68.0	31.0	47.0	50.0	83.0	62.0	68.0	54.0	57.0	50.0	55.0	63.0	86.0	51.0	62.0	58.0	50.0	69.0	66.0	55.0	22.0	26.0	38.0	6.0	42.0	29.0	28.0	43.0	19.0	23.0	4.0	42.0	6.0	20.0	17.0	37.0	23.0	15.0	11.0	22.0	53.0	48.0	64.0	44.0	67.0	52.0	55.0	4.0	45.0	52.0	78.0	40.0	26.0	62.0	44.0	69.0	34.0	37.0	48.0	53.0	20.0	55.0	29.0	45.0	47.0	50.0	47.0	22.0	49.0	53.0	60.0	70.0	69.0	51.0	55.0	58.0	46.0	61.0	52.0	50.0
63.0	37.0	51.0	52.0	56.0	60.0	50.0	58.0	54.0	48.0	61.0	58.0	67.0	48.0	46.0	58.0	45.0	58.0	56.0	45.0	26.0	3.0	22.0	11.0	42.0	30.0	27.0	33.0	9.0	33.0	1.0	15.0	12.0	5.0	16.0	43.0	27.0	30.0	5.0	16.0	47.0	41.0	43.0	42.0	60.0	39.0	47.0	0.0	32.0	51.0	73.0	14.0	24.0	53.0	39.0	61.0	29.0	31.0	43.0	57.0	37.0	59.0	14.0	37.0	45.0	49.0	44.0	24.0	50.0	47.0	57.0	60.0	61.0	52.0	51.0	49.0	47.0	54.0	48.0	46.0
59.0	43.0	52.0	46.0	73.0	58.0	51.0	48.0	57.0	47.0	59.0	62.0	76.0	52.0	49.0	54.0	45.0	67.0	61.0	47.0	47.0	29.0	41.0	24.0	51.0	45.0	46.0	44.0	31.0	45.0	25.0	42.0	40.0	19.0	44.0	53.0	43.0	47.0	27.0	45.0	56.0	47.0	61.0	43.0	71.0	47.0	58.0	4.0	47.0	59.0	69.0	24.0	44.0	60.0	45.0	72.0	48.0	39.0	58.0	46.0	25.0	74.0	38.0	44.0	64.0	65.0	55.0	45.0	64.0	62.0	72.0	74.0	76.0	70.0	56.0	64.0	66.0	68.0	67.0	61.0
58.0	30.0	48.0	46.0	62.0	57.0	57.0	54.0	52.0	47.0	56.0	57.0	70.0	47.0	49.0	53.0	45.0	57.0	56.0	46.0	23.0	7.0	22.0	1.0	44.0	26.0	27.0	30.0	8.0	28.0	0.0	26.0	0.0	0.0	31.0	43.0	24.0	28.0	0.0	23.0	46.0	40.0	45.0	44.0	62.0	39.0	46.0	0.0	32.0	45.0	66.0	22.0	31.0	45.0	24.0	58.0	33.0	38.0	44.0	52.0	27.0	68.0	26.0	41.0	48.0	52.0	44.0	26.0	56.0	59.0	70.0	67.0	73.0	58.0	48.0	53.0	48.0	60.0	53.0	50.0
