84.0	81.0	78.0	87.0	88.0	84.0	87.0	41.0	87.0	84.0	88.0	71.0	87.0	44.0	87.0	67.0	87.0	78.0	57.0	88.0	3.0	18.0	0.0	0.0	1.0	41.0	14.0	24.0	0.0	43.0	0.0	20.0	19.0	1.0	0.0	0.0	33.0	1.0	31.0	0.0	52.0	45.0	77.0	64.0	38.0	74.0	28.0	74.0	68.0	38.0	39.0	51.0	70.0	65.0	50.0	29.0	70.0	57.0	49.0	49.0	72.0	57.0	58.0	83.0	41.0	22.0	69.0	46.0	48.0	14.0	38.0	56.0	68.0	44.0	56.0	17.0	60.0	57.0	68.0	56.0
47.0	50.0	63.0	64.0	52.0	50.0	66.0	8.0	65.0	54.0	58.0	39.0	57.0	16.0	50.0	33.0	60.0	50.0	28.0	65.0	48.0	45.0	37.0	32.0	45.0	43.0	50.0	48.0	44.0	51.0	38.0	52.0	53.0	41.0	25.0	27.0	54.0	45.0	56.0	33.0	48.0	43.0	67.0	56.0	47.0	58.0	33.0	66.0	60.0	47.0	46.0	52.0	57.0	63.0	35.0	47.0	63.0	57.0	54.0	48.0	60.0	57.0	51.0	73.0	43.0	33.0	60.0	31.0	46.0	14.0	37.0	55.0	60.0	46.0	61.0	39.0	56.0	54.0	55.0	53.0
53.0	54.0	70.0	74.0	64.0	63.0	76.0	31.0	77.0	62.0	70.0	54.0	75.0	39.0	61.0	45.0	68.0	64.0	40.0	78.0	36.0	35.0	6.0	5.0	32.0	43.0	29.0	38.0	14.0	49.0	8.0	38.0	41.0	25.0	0.0	8.0	43.0	22.0	46.0	1.0	63.0	58.0	83.0	67.0	47.0	80.0	40.0	87.0	75.0	53.0	61.0	73.0	73.0	85.0	42.0	42.0	77.0	72.0	62.0	66.0	71.0	58.0	52.0	81.0	44.0	34.0	61.0	36.0	46.0	13.0	40.0	63.0	66.0	45.0	65.0	32.0	60.0	61.0	64.0	55.0
55.0	55.0	73.0	68.0	71.0	57.0	79.0	28.0	84.0	74.0	79.0	52.0	75.0	31.0	58.0	42.0	68.0	61.0	40.0	79.0	29.0	37.0	21.0	3.0	28.0	41.0	36.0	34.0	23.0	49.0	12.0	35.0	39.0	21.0	4.0	15.0	42.0	31.0	43.0	14.0	50.0	48.0	80.0	69.0	49.0	71.0	32.0	74.0	72.0	39.0	41.0	50.0	72.0	67.0	39.0	42.0	65.0	54.0	45.0	46.0	86.0	74.0	80.0	87.0	52.0	45.0	80.0	49.0	71.0	35.0	63.0	78.0	86.0	63.0	78.0	50.0	82.0	76.0	82.0	70.0
46.0	47.0	65.0	65.0	57.0	55.0	68.0	1.0	71.0	56.0	64.0	41.0	64.0	7.0	51.0	38.0	62.0	43.0	26.0	67.0	28.0	18.0	0.0	0.0	28.0	31.0	9.0	20.0	15.0	28.0	1.0	23.0	42.0	16.0	0.0	1.0	30.0	4.0	32.0	0.0	54.0	46.0	57.0	54.0	21.0	61.0	37.0	57.0	56.0	41.0	41.0	48.0	47.0	56.0	42.0	26.0	52.0	49.0	39.0	51.0	62.0	44.0	45.0	66.0	39.0	20.0	48.0	5.0	41.0	11.0	27.0	51.0	68.0	33.0	52.0	18.0	54.0	55.0	55.0	49.0
56.0	63.0	71.0	73.0	63.0	57.0	72.0	25.0	77.0	65.0	75.0	43.0	74.0	23.0	63.0	45.0	74.0	56.0	43.0	76.0	33.0	34.0	14.0	9.0	30.0	42.0	31.0	34.0	22.0	45.0	1.0	37.0	41.0	18.0	1.0	12.0	42.0	27.0	43.0	3.0	52.0	47.0	71.0	57.0	42.0	63.0	34.0	72.0	58.0	44.0	42.0	51.0	67.0	65.0	42.0	39.0	68.0	59.0	44.0	49.0	69.0	61.0	56.0	81.0	44.0	27.0	66.0	39.0	51.0	12.0	42.0	56.0	62.0	46.0	63.0	33.0	56.0	60.0	62.0	54.0
62.0	54.0	81.0	81.0	55.0	53.0	75.0	1.0	81.0	64.0	80.0	40.0	82.0	21.0	56.0	51.0	71.0	53.0	32.0	86.0	25.0	42.0	25.0	15.0	20.0	51.0	30.0	27.0	20.0	55.0	20.0	28.0	41.0	12.0	12.0	27.0	40.0	28.0	42.0	11.0	60.0	52.0	70.0	60.0	37.0	76.0	43.0	70.0	65.0	51.0	52.0	61.0	57.0	72.0	44.0	43.0	71.0	61.0	64.0	56.0	65.0	57.0	49.0	74.0	48.0	20.0	53.0	33.0	48.0	23.0	36.0	60.0	62.0	40.0	57.0	29.0	54.0	65.0	59.0	54.0
51.0	55.0	68.0	68.0	63.0	62.0	71.0	6.0	73.0	61.0	64.0	44.0	69.0	11.0	61.0	40.0	67.0	45.0	36.0	70.0	27.0	29.0	7.0	0.0	28.0	42.0	27.0	27.0	20.0	36.0	3.0	27.0	41.0	25.0	0.0	0.0	38.0	27.0	36.0	1.0	54.0	49.0	57.0	70.0	27.0	54.0	29.0	60.0	68.0	40.0	45.0	51.0	47.0	58.0	35.0	40.0	48.0	56.0	39.0	53.0	60.0	52.0	47.0	75.0	40.0	14.0	56.0	25.0	45.0	20.0	31.0	49.0	62.0	42.0	54.0	22.0	50.0	50.0	53.0	62.0
57.0	54.0	77.0	73.0	65.0	57.0	77.0	15.0	77.0	67.0	78.0	45.0	77.0	23.0	56.0	46.0	72.0	57.0	36.0	78.0	44.0	39.0	33.0	18.0	45.0	44.0	41.0	44.0	32.0	46.0	17.0	45.0	48.0	37.0	17.0	26.0	49.0	38.0	52.0	19.0	60.0	52.0	80.0	62.0	47.0	68.0	30.0	73.0	62.0	49.0	51.0	63.0	72.0	75.0	40.0	43.0	64.0	59.0	50.0	58.0	81.0	67.0	56.0	85.0	39.0	31.0	72.0	36.0	50.0	11.0	42.0	67.0	74.0	50.0	77.0	33.0	65.0	73.0	70.0	67.0
49.0	51.0	71.0	69.0	61.0	57.0	75.0	0.0	76.0	61.0	69.0	45.0	74.0	0.0	58.0	42.0	63.0	44.0	36.0	77.0	28.0	34.0	5.0	0.0	26.0	43.0	28.0	29.0	1.0	42.0	0.0	27.0	42.0	22.0	0.0	0.0	41.0	18.0	35.0	0.0	58.0	44.0	67.0	63.0	36.0	54.0	25.0	66.0	64.0	43.0	49.0	54.0	55.0	67.0	36.0	38.0	52.0	60.0	43.0	58.0	73.0	57.0	48.0	77.0	44.0	26.0	60.0	17.0	47.0	13.0	40.0	56.0	73.0	46.0	65.0	29.0	59.0	62.0	62.0	63.0
